geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,health_facility:type,health_specialty:dentistry,healthcare,medical_system:western,office,operator,description,level,name,opening_hours,wheelchair,phone,toilets:wheelchair,website,contact:website,contact:email,contact:fax,contact:phone,check_date:opening_hours,check_date,email,fax,healthcare:speciality,air_conditioning,internet_access,internet_access:fee,payment:bank_transfer,payment:cash,payment:credit_cards,payment:debit_cards,payment:paypal,source,toilets,entrance,opening_hours:signed,wheelchair:description,emergency,name:de,name:en,payment:contactless,start_date,disused:name,disused:office,note,addr:city:fa,addr:housename,alt_name,short_name,shop,addr:floor,brand,brand:wikidata,cash_withdrawal:operator,branch,counselling_type:nutrition,provided_for:boy,provided_for:girl,addr:place,source:date,url,payment:cards,payment:girocard,opening_hours:note:de,payment:mastercard,payment:visa,fixme,name:ja,payment:insurance,payment:invoice,contact:facebook,contact:instagram,noname,smoking,health_specialty:oral_surgery,health_specialty:orthodontics,health_specialty:periodontology,language:ar,wikimedia_commons,survey:date,craft,opening_hours:covid19,addr:inclusion,language:tr,kids_area:indoor,name:vi,whatsapp,check_date:currency:XBT,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,name:signed,building,building:levels,roof:shape,type
POINT (13.4523862 52.4892162),Berlin,DE,2,12435,Plesser Straße,,dentist,,,dentist,,,,,,Zahnarztpraxis Christian Franke,"Mo 09:00-13:00,13:30-18:00; Tu 08:00-12:30,13:00-16:00; We 08:00-13:00; Th 11:00-15:00,15:30-19:00; Fr 08:00-13:00",limited,,,,https://www.zahnarzt-treptow-berlin.de/,,+49 30 13896377,+49 30 5348560,2025-10-19,2025-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3403297 52.5573548),Berlin,,70c,13349,Müllerstraße,,dentist,,,dentist,,,"Dr. Volker Häßelbarth, Dr.Steffen Häßelbarth",,,Zahnarztpraxis Dres. Häßelbarth,Mo-Th 9:00-19:00; Fr 9:00-13:00,yes,+49 30 4514051,no,https://www.dr-haesselbarth.de/,,,,,,2025-07-20,,+49 30 45198510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3392906 52.5035263),,,,,,,dentist,,,dentist,,,,,,Medentes - Zahnarztpraxis,,,+49 30 881 72 71,,https://www.medentes.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3072747 52.5062227),Berlin,DE,108-111,10627,Wilmersdorfer Straße,Charlottenburg,dentist,,,dentist,,,,,5,Zahnärzte im KantCenter,"Mo-Fr 07:00-21:00; Sa 09:00-16:00 || ""nach Vereinbarung""",,,,https://www.kantcenter.com/,,,,+49 30 31991990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5443815 52.4363771),Berlin,DE,11,12489,Dörpfeldstraße,Adlershof,dentist,,,dentist,,,Yanal Alla-Rachi,,,Praxis fuer Kieferorthopaedie,"Mo,Tu 08:00-12:00,14:00-18:00, We,Th 08:00-12:00,15:00-19:00 || ""nach Vereinbarung""; PH off",,+49 30 6713793,,,,,,,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5443663 52.4362431),Berlin,DE,3,12489,Gellertstraße,Adlershof,dentist,,,dentist,,,,,,Zahnarztpraxis Matthias Schütze,Mo-Th 08:00-18:00,,+49 30 678 247 62,,https://adlershof-zahnarzt.de/,,,,,,,,+49 30 678 247 63,paediatrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5178617 52.4617267),Berlin,DE,30,12459,Wilhelminenhofstraße,Oberschöneweide,dentist,,,dentist,,,,Dipl.-Stomatologin,,Kathrin Schimmack,Mo-Tu 12:00-19:00; We-Th 08:30-13:00; Fr 12:00-18:00,no,+49 30 535 15 34,,https://www.zahnarztpraxis-schimmack.de,,,,,2025-11-20,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5434723 52.4380006),Berlin,DE,98,12489,Florian-Geyer-Straße,Adlershof,dentist,,,dentist,,,,,0,Dr.med.dent. Birgit Kühne,"Mo 09:00-13:00,14:00-18:00; Tu 08:00-14:00; We ""Nach Vereinbarung""; Th 12:00-18:00; Fr 08:00-13:00; PH off",no,+49 30 677 29 78,,https://gzm-heilraum-96.de/,,,,,2020-10-21,2025-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2888796 52.6315306),,,6,,Welfenallee,,dentist,,,dentist,,,,,1,Zahnarzt Dr. Matthias Thuma & Kollegen,Mo-Fr 08:00-20:00,yes,+49 30 4017776,,https://dr-thuma.de/,,,,,2024-08-10,,info@dr-thuma.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3301115 52.5706899),,,,,,,dentist,,,dentist,,,,,,"Barbara Kistner, Anne Speda, Dr. Ali Mokabberi",Mo-Fr 08:00-20:00; Sa 09:00-15:00,,+4930 413 5022,,https://meindentist.de/reinickendorf/,,,,,,,,+4930 413 9888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2821391 52.5862915),,,,,,,dentist,,,dentist,,,,,,Kerstin Winkelmann Kieferorthopäde,"Mo-Th 09:00-12:00,14:00-17:00",,+4930 4964060,,,,,,,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4417455 52.5430606),Berlin,DE,89,10409,Greifswalder Straße,Prenzlauer Berg,dentist,,,dentist,,,,,,Dr. Katrin Nestler,"Mo 08:00-12:00,14:00-18:00; Tu 09:00-14:00; We 08:00-12:00,14:00-18:00; Th 09:00-14:00",yes,+49 30 4479525,,https://zahnarzt-dr-nestler.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4375824 52.5315064),,,44,,Pasteurstraße,,dentist,,,dentist,,,,,,Petra Gräf,Mo-Tu 12:00-19:00; We-Th 08:00-15:00,no,+49 30 4235027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4375939 52.5314893),,,44,,Pasteurstraße,,dentist,,,dentist,,,,,,Kathrin Urner,Mo-Tu 08:00-14:00; We-Th 12:00-17:00,no,+49 30 4250099,,,,,,,2022-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4488015 52.5129462),,,8,10243,Grünberger Straße,,dentist,,,dentist,,,,,,Maria Palion & a. ZA Tarek Tantush,"Th 15:00-18:00,09:00-13:00; Tu 13:00-19:00; Mo 15:00-18:00,09:00-13:00; We 09:00-13:00; Fr 09:00-13:00",no,+49 30 296 27 68,,,,,,,2025-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4992636 52.5132861),Berlin,,52,10365,Hagenstraße,,dentist,,,dentist,,,,,,Dr. Christian Scherret,Mo 12:30-19:00; Tu 08:00-18:00; We 08:00-13:00; Th 12:30-19:00; Fr 08:00-13:00,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4126289 52.5397986),Berlin,,41,10435,Schönhauser Allee,,dentist,,,dentist,,,,,,Holger Kretzschmar,,yes,+49 30 4424238,yes,http://www.zpraxis-kb.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3262477 52.471735),Berlin,DE,3,12161,Wiesbadener Straße,Friedenau,dentist,,,dentist,,,,,,Thomas Kersten,"Mo 09:00-15:00; Tu 12:00-19:00; We 09:00-19:00; Th 09:00-12:00,14:00-16:00; Fr 09:00-14:00",,,,http://www.zahnarzt-kersten.de/,,,,+49 30 8593226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3809007 52.4427617),Berlin,,65,12105,Rathausstraße,,dentist,,,dentist,,,,,,Andreas Schubert,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3276707 52.4795294),Berlin,DE,3,10715,Bundesplatz,Wilmersdorf,dentist,,,dentist,,,Marion Gruß;Angelika Wiede;Dr. Kopsahilis,,,Ihre Zahnärzte am Bundesplatz 3,Mo 09:00-19:00; Tu 08:30-20:00; We 09:00-20:00; Th 08:30-19:00; Fr 09:00-12:00,,,,,http://www.zahnaerzte-wiede-gruss.de/,,,+49 30 8531095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6623835 52.4123495),,,17,,Alt-Müggelheim,,dentist,,,dentist,,,,,,Zahnärztinnen Birgit u. Alexandra Schümberg,"Mo,Th 07:00-20:00; Tu 08:00-20:00; We 13:00-20:00; Fr 08:00-12:00",yes,+49 3065940909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3052633 52.5106386),,,42,,Wilmersdorfer Straße,,dentist,,,dentist,,,,,0,Meindentist,"Mo-Fr 08:00-20:00; Sa-Su,PH off",limited,+49 30 397733333,,,,,,,,2023-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEINDENTIST,Q127611277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2070283 52.5558045),,,95,13585,Hohenzollernring,,dentist,,,dentist,,,,,,Zahnarzt H. Khello,,no,+49 30 3352898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3149546 52.5674545),,,,,,,dentist,,,dentist,,,,,,Dr. Antje Tothfalvy,"Mo,We 11:00-19:00; Tu,Fr 09:00-14:00",,+4930 4121701,,https://www.tothfalvy.de/,,,,,,,praxis@tothfalvy.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3134972 52.5680297),,,,,,,dentist,,,dentist,,,,,,Dr. Bernhard Vaupel,"Mo,Tu,Th 09:00-18:00; We 09:00-15:00; Fr 09:00-13:00",,+4930 4121793,,,,,,,,,,+4930 41700944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3167584 52.5672262),,,,,,,dentist,,,dentist,,,,,,Peter Luck,"Mo,Tu,Th,Fr 08:00-12:00; Mo-Th 14:00-18:00",,+4930 4121880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4019016 52.5040428),Berlin,,45,10969,Ritterstraße,,dentist,,,dentist,,,,,,Dr. Freidon Fathi,"Mo,Tu,Th 08:00-13:00,14:00-18:00; We 08:00-14:00; Fr 08:00-12:00",yes,,,,https://praxisfathi.de/,,,+49 30 6142442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5881498 52.510765),,,,,,,dentist,office,yes,dentist,yes,physician,Magaretha Quaeck,,,,"Mo,Tu 08:00-14:00; We 12:00-19:00; Th 13:00-19:00; Fr 08:00-13:00||""nach Vereinbarung""; PH off",,+49 30 5677932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5209527 52.4971225),Berlin,DE,5,10319,Otto-Schmirgal-Straße,,dentist,,,dentist,,,,,2,Zahnärzte am Tierpark,"Mo,Tu,Th 08:00-19:00; We 08:00-15:00; Fr 08:00-13:00; PH off",yes,+49 30 55005777,,https://www.zahnaerzte-am-tierpark.de/,,,,,,,,,,,,,,,,,,,,,,,,,Dentist Dr. Jana Seemann & Iljana Merkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4477893 52.4488152),Berlin,,15,12359,Lowise-Reuter-Ring,,dentist,,,dentist,,,,,,Dr. Hager,"Mo 10:00-19:30; Tu,We 08:00-14:15; Th 09:00-19:00; Fr 10:00-17:00",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.drhager.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3783808 52.5283805),Berlin,DE,11,10115,Robert-Koch-Platz,Mitte,dentist,,,dentist,,,,,,torhaus – Ihre Zahnärzte,Mo-Fr 08:00-20:00,limited,,no,https://www.zahnarzt-torhaus.de/,,,,+49 30 27 90 74 90,2024-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3252953 52.5013627),Berlin,DE,173,10719,Uhlandstraße,Charlottenburg,dentist,,,dentist,,,,,,Zahnmedizinisches Kompetenzzentrum Berlin - Zahnärztin Schaaf-Zielinska,Mo 10:00-16:00; Th 10:00-16:00; We 15:00-20:30; Th 15:00-20:30; Fr 10:00-16:00,no,+49 30 21478066,,http://www.zmko.de,,,,,,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3078767 52.5015446),,,,,,,dentist,,,dentist,,,,,,Zahnärzte am Adenauerplatz,"Mo,Tu,Th 09:00-18:00, We,Fr 09:00-14:00",,,,,,,,,2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4075971 52.5368334),,,,,,,dentist,,,dentist,,,,,,Dr. Feick,"Mo,Tu 09:00-14:00; We 15:00-19:00; Th 13:00-19:00; Fr 09:00-12:00",,+4930 4481243,,http://www.ina-marina-feick.de,,,,,,,ina.feick@t-online.de,+4930 4409071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4882451 52.4663129),Berlin,DE,14,12437,Baumschulenstraße,Baumschulenweg,dentist,,,dentist,,,,,,Zahnarztpraxis Hauck & Hauck,"Mo,Th 08:00-18:00; Tu 08:00-14:00; We 08:00-14:00",no,,,https://www.zahnarztpraxis-hauck.berlin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2819123 52.4778249),,,,,,,dentist,,,dentist,,,,,,Casa Dentalis,,,,,,,,,,,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4093319 52.3870852),,,,,,,dentist,,,dentist,,,,,,Adentics Kieferorthopäden,,,,,,,,,,,,,,orthodontics,,,,,,,,,,,,,,,Adentics Kieferorthopäden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4129785 52.5119729),Berlin,,1,10179,Inselstraße,,dentist,,,dentist,,,,,,Martin Schymanski Inselzahnarzt,"Mo,Tu,Th 09:00-13:00, We 13:00-19:00, Fr 09:00-14:00, Mo,Tu,Th 15:00-19:00",,+49 30 23456696,,http://www.inselzahnarzt-berlin-mitte.de/,,,,,2024-09-27,,inselzahnarzt@online.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3910692 52.504873),Berlin,DE,32;33,10969,Friedrichstraße,Kreuzberg,dentist,health_centre,yes,dentist,yes,,,,1,Nosrat Delbasteh,,,+49 30 2515262,,,,,,,,2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2940298 52.4461582),Berlin,,62,12203,Unter den Eichen,,dentist,,,dentist,,,,,2,Dr. Tatjana Hussain,"Mo,We 09:00-14:00; Tu,Th 14:00-19:00; Fr 09:00-13:00; PH off",,,,,,,,+49 30 8328788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.376422 52.4867044),Berlin,DE,21,10965,Katzbachstraße,,dentist,,,dentist,,,,,,Praxis am Viktoriapark,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-14:00; Fr 09:00-13:00; PH off,,+49 30 78952810,,http://www.Praxis-am-Viktoriapark.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6249716 52.4554155),,,,,,,dentist,,,dentist,,,,,,Sabine Röser,"Mo,Tu 13:00-19:00; We 08:00-14:00; Th 08:00-15:00",no,+49 30 6455143,,https://www.zahnarzt-friedrichshagen.berlin/,,,,,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3323356 52.5025271),,,39,,Augsburger Straße,,dentist,,,dentist,,,,,,edelweisslab,,,,,,,,,,2025-09-18,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3280318 52.4676701),Berlin,DE,90,12161,Bundesallee,Friedenau,dentist,,,dentist,,,,,,Dr. Andrea Bloching,"Mo 09:00-15:00; Tu 09:00-13:00,14:00-18:00; We 09:00-14:00; Th 10:00-13:00,14:00-18:00; Fr 09:00-13:00",limited,,,,https://friedenau-zahnarzt.de,,+49 30 8524299,+49 30 8524239,2025-03-15,2025-03-15,,,endodontics;parodontology;acupuncture,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3178209 52.4895133),Berlin,DE,26,10713,Gieselerstraße,Wilmersdorf,dentist,,,dentist,,,Nicola Schmidt-Rogge,,,Praxis für Kieferorthopädie Wilmersdorf Dr. Nicola Schmidt-Rogge,"""Termine nach Vereinbarung""",,,,https://www.spange-na-klar.de,,,,,2025-06-02,2025-06-02,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3600187 52.4888306),,,13,,Erdmannstraße,,dentist,,,dentist,,,,,,Stefan Strauss,Mo 12:00-19:00; Tu 10:00-18:00; We 09:00-13:00; Th 10:00-19:00; Fr 09:00-13:00; Sa-Su off,,+49 30 7813864,,https://www.zahnarztstrauss.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4574298 52.5097313),Berlin,,30,10245,Wühlischstraße,,dentist,,,dentist,,,,,,Dr. Gerald Keller und Dr. Deepa Rayamajhi,"Mo 09:00-14:00; Tu 11:00-19:00; We 10:00-18:00; Th 08:00-16:00; Fr 09:00-14:00; Sa,Su off",no,+49 30 291 17 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3356409 52.5288451),,,,,,,dentist,,,dentist,,,,,,Kieferorthopädie Moabit,,no,,,,,,,,2023-12-09,,,,orthodontics,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3964337 52.3816109),,,,,,,dentist,,,dentist,,,,,,Zahnarzt Jürgen Dreiling,"Mo-Th 09:00-12:00,14:00-18:00; Fr 09:00-13:00; PH off",no,+49 30 76405607,,,,,,,2023-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2858719 52.510017),,,,,,,dentist,,,dentist,,,,,,Raphael Will,"""by appointment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.398919 52.5683736),Berlin,,4,13187,Wollankstraße,Pankow,dentist,,,dentist,,,,,,Heike Kirsten,Mo 09:00-18:00; Tu 08:00-17:00; We 14:00-19:00; Th 08:00-14:00; Fr 08:00-12:00,,,,,,,,,2024-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.388182 52.5265016),,,,,,,dentist,,,dentist,,,,,,Zahnärzte am Oranienburger Tor,,,+49302827349,,http://www.berlin.dental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6294432 52.4462907),Berlin,DE,208,12587,Müggelseedamm,Friedrichshagen,dentist,,,dentist,,,,,,Böhme Andreas Dr. Fachpraxis für Kieferorthopädie,"""nach Vereinbarung""",,+493064092028,,,http://www.praxis-drboehme.de/,,,,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4045811 52.5692512),Berlin,,29B,13187,Breite Straße,Pankow,dentist,,,dentist,,,,,,Scaladent Zahntechnik,"Mo,Tu 08:00-18:00; We,Th 08:00-17:00; Fr 08:00-16:00",no,,,https://scaladent.de/,,,,,2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4538799 52.5200503),Berlin,,43,10249,Thaerstraße,,dentist,,,dentist,,,,,,Dr. Anna Kokocinski,"Mo,Tu,Th 08:00-12:30,13:30-18:00",limited,+49 30 4225960,,https://www.kieferorthopaedie-friedrichshain.de/,,,,,,2025-05-26,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4347395 52.4809275),Berlin,DE,84-86,12043,Karl-Marx-Straße,Neukölln,dentist,,,dentist,,,,,,opensmile,Mo-Sa 08:00-18:00,limited,+49 30 689773930,,https://zahnarzt-brandmann.de/,,,,,2025-11-07,2025-11-07,info2@zahnarzt-brandmann.de,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Brandmann & Kollegen | Zahnarztpraxis 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2620313 52.4390777),,,319,,Clayallee,,dentist,,,dentist,,,,,,Zahnarztpraxis Dr. med. dent. Alexander Voss,"Mo,Tu,Fr 08:00-20:00; We,Th 08:00-20:00; Sa ""Nach Vereinbarung""",yes,+49 30 94874030,,https://www.zahnarztpraxis-drvoss.de/,,,,,,,info@zahnarztpraxis-drvoss.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5277173 52.424777),,,,,,,dentist,,,dentist,,,,,,Zahnarztpraxis Sabrina Roedel,"Mo 08:00-12:00,14:00-18:00, Tu 13:00-19:00, We 08:00-14:00, Th 13:00-19:00, Fr 08:00-14:00",yes,+49 30 6721740,no,https://www.zahnarztpraxis-roedel.de/,,,,,,2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3769414 52.5543456),Berlin,,1,13357,Schwedenstraße,,dentist,,,dentist,,,,,,Berodent Zahnärzte,Mo-Fr 08:00-20:00; Sa 10:00-16:00,yes,+49 30 4624014,yes,https://berodent.de/,,,,,2024-04-28,,sws@berodent.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3396401 52.4745272),Berlin,,87,12159,Hauptstraße,,dentist,,,dentist,,,Markus Kuhnke,,,Markus Kuhnke,"Mo,We 11:30-19:00; Th 08:00-16:00; Tu 08:00-15:00; Fr ""Nach Vereinbarung""",yes,+49 30 89742090,,https://www.zahnarzt-kuhnke.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5380252 52.413944),Berlin,DE,7,12524,Bernulfstraße,Altglienicke,dentist,,,dentist,,,,,,Atef Eltiri,,yes,+49 30 67 98 97 88,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3719767 52.5608225),,,,,,,dentist,,,dentist,,,,,,Claudia Döring,"Mo, Tu 09:00-13:00, 15:00-18:00; We 12:00-19:00; Th 10:00-13:00, 15:00-19:00",,+49 30 4921902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr Termine nach Vereinbarung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
