amenity,brand,brand:wikidata,brand:wikipedia,compressed_air,fuel:HGV_diesel,fuel:diesel,fuel:e10,fuel:octane_102,fuel:octane_95,man_made,name,opening_hours,surveillance,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,fuel:ethanol,level,operator,payment:cash,payment:mastercard,payment:visa,phone,website,check_date:opening_hours,fuel:adblue,fuel:biodiesel,fuel:octane_98,shop,car_wash,contact:fax,contact:phone,contact:website,payment:american_express,payment:debit_cards,payment:diners_club,payment:dkv,payment:maestro,payment:uta,payment:v_pay,payment:westfalen_card,self_service,fuel:biogas,fuel:cng,fuel:lpg,kiosk,fuel:GTL_diesel,compressed_air:fee,fax,fuel:gts_diesel,fuel:octane_100,payment:cryptocurrencies,payment:girocard,payment:credit_cards,ref,source,toilets,toilets:wheelchair,changing_table,operator:wikidata,wheelchair:description,covered,fuel:1_50,note,currency:others,fuel:kerosene,payment:coins,payment:notes,currency:EUR,access,atm,fuel:e85,fuel:1_25,payment:routex,drink:club-mate,automated,postal_code,internet_access,internet_access:fee,smoking,description,source:opening_hours,name:de,name:en,post_office,post_office:brand,post_office:brand:wikidata,addr:inclusion,layer,car_repair,branch,roof:levels,roof:shape,check_date:compressed_air,contact:email,fuel:heating_oil,start_date,building,fuel:hvo100,payment:esso_card,payment:euroshell,payment:shell_clubsmart,official_name,ref:vatin,fuel:adblue:canister,name:signed,fuel:h35,fuel:h70,payment:h2_mobility_card,source:website,start_date:fuel:h70,lottery,valves,truck_wash,vacuum_cleaner,tenant,opening_hours:signed,building:levels,building:min_level,fuel:LH2,bus,minibus,cash_withdrawal,payment:apple_pay,payment:google_pay,surface,atm:operator,owner,landuse,service:vehicle:car_repair,service:vehicle:inspection,fuel:octane_92,height,wikimedia_commons,payment:H2_Delivery,payment:HyLane,payment:ryd_pay,start_date:fuel:h35,poi_type,amperage,authentication:short_message,bicycle,capacity,socket:type2,source:delivery_date,voltage,addr:floor,fee,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,authentication:app,authentication:nfc,motorcar,parking:fee,socket:type2:output,socket:type2:current,socket:type2:voltage,survey:date,hgv,maxstay:conditional,network,payment:paypal,scooter,colour,location,authentication:phone_call,socket:schuko,short_name,charge,payment:sepa,payment:vpay,authentication:none,comment,maxstay,socket:chademo,socket:type2_combo,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,surveillance:type,surveillance:zone,ref:EU:EVSE,noname,output,charging_station:output,description:de,socket:usb,mapillary,socket:tesla_supercharger_ccs,socket:type2_cable,lit,support,fixme,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,payment:app,payment:cards,payment:membership_card,payment:qr_code,capacity:motorcar,payment:bank_transfer,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:Giro-e,payment:Ladekarte,direction,lamp_mount,lamp_type,access:conditional,payment:contactless,small_electric_vehicle,motor_vehicle,parking:left,parking:left:fee,parking:left:maxstay,parking:left:orientation,parking:right,image,manufacturer,payment:nfc,authentication:contactless,socket:type2_combo:current,socket:type2_combo:voltage,bicycle_parking,socket:device:USB-A,socket:device:USB-C,charge:conditional,socket:type1:output,email,panoramax,panoramax:0,panoramax:1,payment:samsung_pay,orientation,indoor,operator:type,not:operator:wikidata,payment:rfid_card,payment:online_payment,payment:prepaid_cards,obstacle:parking,position,serialnumber,material,construction,motorcycle,socket:type1,socket:j3105-1,socket:j3105-1:output,capacity:charging,capacity:bicycle,taxi,socket:unknown,socket:unknown:output,markings,restriction,street:name,capacity:disabled,ref:goingelectric,socket:chademo:current,socket:chademo:voltage
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0873-6 / BA-0874-2,"RWE Effizienz GmbH, Dortmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,2011/01/17,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,e.on,,,,,,,,,,e.on,24/7,,,,,,,,,,,,E.ON,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0656-0 / BA-0657-7,survey,,,,Q270223,,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,charging_station,,yes,no,2,2,,,,yes,,,,,,,yes,,,32,400,,no,4 hours @ (08:00-18:00),innogy eRoaming,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0895-5/ BA-0896-1,"RWE Effizienz GmbH, Dortmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,2011/01/17,400,,,,Voltairestraße / Alexanderstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,,,,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0882-8 / BA-0881-1,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,no,2,2,,400,,,de:Innogy,Neue Jüdenstraße (Stralauer Straße),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,24/7,,limited,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0552-6 / BA-0470-0,,,,,Q2124721,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,400,,yes,de:Innogy,Torstraße / Bergstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,,,,,,,,,,,,0,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0655-4 / BA-0654-8,survey,,,,Q2124721,,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,2011/01/17,400,0,yes,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,-1,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0507-7 / BA-0498-8,"RWE Effizienz GmbH, Dortmund",,,,,,,,,,,,,,,,,,,,,,,,,Parkhaus Ebene P -1 Platz A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,2011/01/17,400,,,,Grunerstraße; Parkhaus ALEXA Säule Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,,,,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0879-4;BA-0880-5,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,400,,,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,E.ON Drive,Q126650419,,,,,,,,,,24/7,,no,,,,,,,,,0,E.ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0725-9 / BA-0721-3,survey,,,,Q270223,,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,400,0,yes,,,,,,,,,,,,,,,,,,grey,Veteranenstraße / Fehrbelliner Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,Vattenfall Ladesäule,,,,,,,,,,,,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-9247-3 / BA-9259-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,no,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,24/7,,limited,,,,,,,,,,Innogy,,,,,,,,,,,,,+49 800 2255793,https://www.epowerdirect.com/,,,,,,,,,,,,,,,,,,,,,,BD-1738-2;BD-1737-6,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,,,,2,2,,,,yes,de:Innogy,,,,,yes,yes,no,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,RWE Autostrom,,,,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,,,,2,,,,,,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,,,,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2114-9 / BA-2092-2,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2319-9 / BA-2308-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-9369-1 / BA-9391-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-9269-2 / BA-9246-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,E.ON Drive,Q126650419,,,,,,,,,,,,,,,,,,,,,,E.ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2080-1 / BA-2069-2,,,,,Q270223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-0717-3 / BA-0719-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-1214-3 / BA-1232-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-9287-7 / BA-9249-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2166-2 / BA-2167-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,Lautlos durch Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betreuung durch das Geschäft gegenüber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,no,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32;16,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,24/7,,,,,,,,,,,,Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2337-2 / BA-2303-3,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,yes,de:Innogy,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2072-6 / BA-2082-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015 002,,,,,,,,,,,,,,,,,,,,,,,,,,Parkhaus Platz A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,Shell Recharge Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q105883058,,,,,,,,,,,,,,,,,,,,,Parkhaus Platz A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-9373-1/ BA-9365-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-8586-2/ BA-8587-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,Innogy,Q2124721,de:Innogy,,,,,,,,Innogy,24/7,,,,,,,,,,,,Innogy,,,,,,,,,,,,,+49 8002255793,https://www.epowerdirect.com/,,,,,,,,,,,,,,,,,,,,,,BD-1840-9;BD-1850-7,,,,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,,,,2,2,,,,yes,de:Innogy,,,,yes,yes,yes,no,11 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,RWE-Effizienz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-2302-6 / BA-2290-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,yes,,2,2,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,Mo-Fr 07:00-18:00; Sa 08:00-12:00,,,,,,,,,,,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,,,,,,,,,,,,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,2,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,,,,Mo-Fr 06:00-24:00; Sa 09:00-21:00,,,,,,,,,,,-1,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015032,,,,,,,,,,,,,,,,,,,,,,,,,,Im Parkhaus,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charging_station,32,,,,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
